Model,FPR,TPR,AUC
Random Forest,0.7644805597709484,1.0,0.9996587466056626
Random Forest,0.803654060357781,1.0,0.9996587466056626
Random Forest,0.8118966277687656,1.0,0.9996587466056626
Random Forest,0.9641606052224357,1.0,0.9996587466056626
Random Forest,0.9648184556960133,1.0,0.9996587466056626
Random Forest,0.9666843588574333,1.0,0.9996587466056626
Random Forest,0.9707525659906256,1.0,0.9996587466056626
Random Forest,0.980303358775202,1.0,0.9996587466056626
Random Forest,0.9899707705073671,1.0,0.9996587466056626
Random Forest,0.9982118428036391,1.0,0.9996587466056626
Random Forest,0.999011729174921,1.0,0.9996587466056626
GBT,0.0,0.0,0.9996056833314346
GBT,0.0,0.38972972972972975,0.9996056833314346
GBT,1.49511471267633e-06,0.6851597051597051,0.9996056833314346
GBT,7.47557356338165e-06,0.7557248157248158,0.9996056833314346
GBT,7.47557356338165e-06,0.8147911547911548,0.9996056833314346
GBT,1.196091770141064e-05,0.8594594594594595,0.9996056833314346
GBT,5.0833900230995224e-05,0.8878624078624079,0.9996056833314346
GBT,6.877527678311118e-05,0.89995085995086,0.9996056833314346
GBT,8.073619448452182e-05,0.913955773955774,0.9996056833314346
GBT,0.00013306520942819338,0.9286486486486486,0.9996056833314346
GBT,0.0003528470721916139,0.948992628992629,0.9996056833314346
GBT,0.00048292205219445465,0.9563144963144963,0.9996056833314346
GBT,0.0005741240496677108,0.9603439803439804,0.9996056833314346
GBT,0.0008267984361100105,0.9692383292383292,0.9996056833314346
GBT,0.0016431310692312869,0.9746437346437347,0.9996056833314346
GBT,0.0035598681308823417,0.9827027027027027,0.9996056833314346
GBT,0.004184826080781048,0.9844717444717445,0.9996056833314346
GBT,0.0047619403598741115,0.9921867321867321,0.9996056833314346
GBT,0.005497536798510866,0.9936609336609337,0.9996056833314346
GBT,0.006699609027502635,0.9953808353808353,0.9996056833314346
GBT,0.009468561475379198,0.9970515970515971,0.9996056833314346
GBT,0.01188018150692612,0.9978378378378379,0.9996056833314346
GBT,0.014324694062151918,0.9978869778869779,0.9996056833314346
GBT,0.021067661416322166,0.9981818181818182,0.9996056833314346
GBT,0.02356001764235361,0.9983783783783784,0.9996056833314346
GBT,0.029851460353295608,0.9992137592137592,0.9996056833314346
GBT,0.04924608840613296,0.9992628992628992,0.9996056833314346
GBT,0.06917297729668309,0.9995577395577395,0.9996056833314346
GBT,0.9988951102273322,0.9999017199017199,0.9996056833314346
Linear SVC,0.0,0.0,0.991820494654111
Linear SVC,5.3824129656347885e-05,0.009041769041769041,0.991820494654111
Linear SVC,9.41922268986088e-05,0.01597051597051597,0.991820494654111
Linear SVC,0.00014054078299157504,0.023046683046683048,0.991820494654111
Linear SVC,0.00019137468322257025,0.040343980343980346,0.991820494654111
Linear SVC,0.00025566461586765246,0.04368550368550368,0.991820494654111
Linear SVC,0.00031995454851273464,0.04786240786240786,0.991820494654111
Linear SVC,0.000457505102078957,0.05046683046683047,0.991820494654111
Linear SVC,0.0006100068027719426,0.055675675675675676,0.991820494654111
Linear SVC,0.0006653260471409668,0.05975429975429975,0.991820494654111
Linear SVC,0.0007101794885212568,0.07017199017199018,0.991820494654111
Linear SVC,0.0007669938476029573,0.08098280098280099,0.991820494654111
Linear SVC,0.000801381485994513,0.09552825552825553,0.991820494654111
Linear SVC,0.0008372642390987448,0.10466830466830467,0.991820494654111
Linear SVC,0.0008731469922029768,0.12378378378378378,0.991820494654111
Linear SVC,0.0009254760071466483,0.13375921375921376,0.991820494654111
Linear SVC,0.0009673392191015856,0.14265356265356266,0.991820494654111
Linear SVC,0.0010106975457691992,0.14923832923832925,0.991820494654111
Linear SVC,0.0010570461018621655,0.15606879606879606,0.991820494654111
Linear SVC,0.001113860460943866,0.16127764127764127,0.991820494654111
Linear SVC,0.0011661894758875375,0.16584766584766586,0.991820494654111
Linear SVC,0.0012125380319805037,0.16977886977886977,0.991820494654111
Linear SVC,0.0012738377352002333,0.17287469287469287,0.991820494654111
Linear SVC,0.0013261667501439048,0.17764127764127763,0.991820494654111
Linear SVC,0.0013799908798002526,0.18054054054054053,0.991820494654111
Linear SVC,0.0014412905830199821,0.18407862407862408,0.991820494654111
Linear SVC,0.0014936195979636537,0.1881081081081081,0.991820494654111
Linear SVC,0.0015474437276200017,0.19184275184275185,0.991820494654111
Linear SVC,0.0015922971690002915,0.19773955773955773,0.991820494654111
Linear SVC,0.0016476164133693157,0.20343980343980345,0.991820494654111
Linear SVC,0.001707421001876369,0.20771498771498773,0.991820494654111
Linear SVC,0.0018135741464763884,0.21056511056511057,0.991820494654111
Linear SVC,0.0018838445379721759,0.2134152334152334,0.991820494654111
Linear SVC,0.0019451442411919054,0.21665847665847665,0.991820494654111
Linear SVC,0.0020273755503891037,0.21955773955773955,0.991820494654111
Linear SVC,0.0020901703683215093,0.22304668304668304,0.991820494654111
Linear SVC,0.0021454896126905337,0.22506142506142507,0.991820494654111
Linear SVC,0.0021903430540708238,0.2294840294840295,0.991820494654111
Linear SVC,0.002232206266025761,0.23542997542997543,0.991820494654111
Linear SVC,0.0022755645926933743,0.24407862407862407,0.991820494654111
Linear SVC,0.002329388722349722,0.2815233415233415,0.991820494654111
Linear SVC,0.002377232393155365,0.3047174447174447,0.991820494654111
Linear SVC,0.0024205907198229784,0.3232432432432432,0.991820494654111
Linear SVC,0.0024654441612032684,0.3299262899262899,0.991820494654111
Linear SVC,0.0025237536349976453,0.334004914004914,0.991820494654111
Linear SVC,0.00259103379706808,0.33906633906633904,0.991820494654111
Linear SVC,0.00263588723844837,0.3452088452088452,0.991820494654111
Linear SVC,0.002677750450403307,0.35488943488943486,0.991820494654111
Linear SVC,0.002731574580059655,0.35985257985257985,0.991820494654111
Linear SVC,0.0027824084802906502,0.36624078624078626,0.991820494654111
Linear SVC,0.0028302521510962927,0.3712530712530713,0.991820494654111
Linear SVC,0.002879590936614612,0.37479115479115477,0.991820494654111
Linear SVC,0.0029289297221329305,0.3792137592137592,0.991820494654111
Linear SVC,0.0029902294253526603,0.3836855036855037,0.991820494654111
Linear SVC,0.0030530242432850662,0.3879115479115479,0.991820494654111
Linear SVC,0.003129275093631559,0.39090909090909093,0.991820494654111
Linear SVC,0.003202535714552699,0.3941031941031941,0.991820494654111
Linear SVC,0.003274301220761163,0.40034398034398033,0.991820494654111
Linear SVC,0.003329620465130187,0.4032923832923833,0.991820494654111
Linear SVC,0.0033983957419132984,0.40992628992628993,0.991820494654111
Linear SVC,0.0035987411134119265,0.41248157248157247,0.991820494654111
Linear SVC,0.003695923569735888,0.4143488943488943,0.991820494654111
Linear SVC,0.0037632037318063227,0.4173955773955774,0.991820494654111
Linear SVC,0.0038215132056006996,0.4196560196560197,0.991820494654111
Linear SVC,0.003918695661924662,0.4222113022113022,0.991820494654111
Linear SVC,0.004023353691812004,0.4245700245700246,0.991820494654111
Linear SVC,0.004129506836412024,0.4267813267813268,0.991820494654111
Linear SVC,0.004235659981012043,0.4286977886977887,0.991820494654111
Linear SVC,0.004358259387451502,0.43076167076167077,0.991820494654111
Linear SVC,0.004455441843775464,0.43346437346437344,0.991820494654111
Linear SVC,0.004573555906076894,0.4358722358722359,0.991820494654111
Linear SVC,0.004875569078037513,0.4388206388206388,0.991820494654111
Linear SVC,0.00499069291091359,0.4407862407862408,0.991820494654111
Linear SVC,0.005089370481950227,0.44304668304668304,0.991820494654111
Linear SVC,0.005167116447009397,0.4448157248157248,0.991820494654111
